australian,gmt,experience,right,friends,theatre,bar,updated,one,published,associated,july,been,the,entertainer,gobsmacked,found,excited,guilty,verdict,
witness,guilty,four,girls,between,where,hand,put,meeting,panic,solo,said,trial,n-t,could,believe,tuesday,july,been,the,
tonya,harris,current,affair,victim,relief,interview,lee,his,charges,rolf,guilty,proud,indecent,sit,skirt,pub,early,her,night,
hidden,situation,dinner,still,how,get,and,very,testify,told,touring,lee,handed,could,
the,she,was,lee,harris,her,london,that,when,had,brother,henkel,group,who,his,verdict,first,accusation,made,allegations,
