tonya,harris,was,her,current,victim,relief,rolf,guilty,australian,brother,affair,lee,gmt,the,proud,she,victims,first,bruce,
she,lee,london,the,that,was,had,theatre,when,tuesday,made,allegations,abused,time,idea,being,evening,remembered,spoke,changed,
her,the,verdict,harris,interview,lee,one,found,wonderful,all,girls,indecent,assault,abuse,hidden,situation,get,wondering,joking,uncomfortable,
the,said,his,trial,could,july,guilty,accusation,four,between,where,eyes,dinner,actions,laughing,still,how,other,guests,panic,
lap,sit,having,skirt,put,pub,indecently,early,who,said,his,harris,
