james,the,not,was,last,week,present,officials,spoke,expiration,three-day,soon,decision,date,least,make,decide,regards,mavericks,million,
mavericks,forward,small,waiting,are,restricted,angeles,los,lakers,dallas,phoenix,suns,elsewhere,heads,any,chance,the,rockets,
offer,parsons,sheet,the,bosh,sign,match,houston,rockets,that,then,first,retain,they,want,three-year,whether,sunday,until,signed,
spoke,mavericks,
mike,james,dwyane,miami,wade,future,could,carmelo,anthony,team,impending,brian,insider,nba,espn,lebron,choice,how,affects,whether,
