second-team,the,effective,healthy,when,popovich,masterful,core,get,hill,valued,boris,reserve,swapping,all-defense,respectively,all-nba,they,that,garnered,
the,leonard,nba,finals,mvp,going,who,was,san,series,game,duncan,whole,summer,about,for,live,still,named,can,
antonio,long,bill,his,trophy,hand,legend,russell,philjackson,phil,jackson,numbing,celtics,and,spiritually,mentally,stronger,physically,comeback,last,
being,workload,lighten,only,heap,pick,danny,green,cut,george,picking,diaw,manner,san,was,
the,most,remain,them,their,scrap,charlotte,signing,unique,franchise,trio,player,series,clinching,points,had,teammate,breakout,progress,mostly,
