iraq,troops,abbadi,afghanistan,gain,citizen,entry,his,vinas,american,kill,military,where,fought,explosives,rigged,compound,them,luring,helped,
guilty,was,yemeni,court,conspiring,charges,federal,man,terrorism,four,who,bar,abroad,year-old,murder,nationals,has,prison,sentence,saudi,
the,qaeda,island,al-abbadi,long,terrorist,organization,witness,guilty,forces,vinas,who,designed,designated,recruitment,efforts,engaging,operation,planning,mission,
the,senior,al-qaeda,qaeda,member,saeed,al-masri,directly,leadership,had,sheikh,pakistan,who,ranking,members,arabian,peninsula,ties,aqap,known,
pakistan,the,afghanistan,fight,forces,yemen,senior,terrorist,traveled,kelly,attorney,both,group,leadership,high-level,u.s,currie,acting,defendant,new,
