the,saleh,september,militiamen,streets,regime,ouster,had,protesters,fire,loyal,badr,explosion,damage,shiite,yemenis,sunday,staff,unrest,sky,
friday,clashes,houthis,largest,overran,shout,his,demand,gathered,forces,dignity,attack,fourth,anniversary,national,giant,january,capital,city,over,
caption,yemen,the,photos,unrest,houthi,january,march,presidential,supporters,palace,yemeni,guard,men,demonstration,man,rebels,damaged,street,tank,
flames,wounded,wave,banners,abdullah,ali,son,slogans,saleh,mosque,dust,yemeni,unrest,photos,yemen,saddiq,
airstrikes,the,photos,sanaa,recent,those,which,followed,sect,serving,two,deadly,bombing,days,earlier,suicide,attacks,were,killed,victims,
