saleh,forces,rubble,closed,woman,rabu,army,recent,wave,ali,slogans,demand,gathered,protesters,days,attacks,were,coffins,demonstration,destroyed,
stands,fight,anniversary,mark,wednesday,giant,deploy,armed,city,over,took,which,followed,shiite,sect,serving,two,deadly,bombing,killed,
wounded,flames,past,mansour,hadi,house,tank,militiamen,fourth,shiite,suicide,honor,people,movement,coalition,
the,yemen,march,home,member,september,houthis,largest,since,overran,streets,off,bomb,where,went,fist,child,former,banners,president,
caption,photos,the,yemen,unrest,january,houthi,presidential,march,palace,supporters,yemeni,guard,men,demonstration,rebels,airstrikes,april,sanaa,damaged,
