afghanistan,kill,national,story,year,terrorism,case,where,states,brooklyn,district,after,extradited,four,months,federal,plea,
qaeda,sentence,years,was,prison,year,served,arabia,court,the,there,records,according,attack,plotting,previously,five,had,before,more,
al-qaeda,the,senior,aqap,known,yemen-based,affiliate,ranking,then-third,saeed,pakistan,members,longstanding,fata,member,sheikh,al-masri,leadership,directly,abbadi,
arabia,was,who,alleged,u.s,his,life,maximum,arrested,saddiq,sentence,co-conspirator,sentencing,prison,saudi,over,iraq,has,pleaded,guilty,
arabia,subsequently,were,expelled,been,both,had,custody,then,transferred,two,men,arrested,
