vinas,help,his,connections,join,providing,long,qaeda,bryant,neil,jihadist,wannabe,terrorist,using,organization,material,support,federal,brooklyn,al-qaida,
the,attack,long,plan,helping,guilty,rail,road,qaeda,military,al-qaida,out,was,became,
the,new,york,afghanistan,forces,fight,al-qaeda,joine,hoping,pakistan,had,island,american,base,also,prosecutors,
the,island,neal,bryant,man,also,vinas,court,documents,militant,islamic,group,join,pair,york,long,prosecutors,new,out,not,
long,who,vinas,witness,before,captured,plot,suggested,training,received,were,railroad,road,qaeda,planned,government,cooperating,became,eventually,get,
