noncompetitive,percent,ratings,viewing,interest,significant,purdum,hdavid,spikes,producing,times,role,spread,getty,economists,that,plays,have,scott,point,
byron,at&t,this,week,nelson,will,which,golfer,win,petersen_getty,
the,that,photos,was,look,back,bennett_getty,week,images,stake,much,more,who,had,glory,slice,just,but,save,loss,

the,conference,eastern,cavaliers,cleveland,game,left,sore,kyrie,guard,knee,point,irving,cox_getty,two,games,missing,finals,kevin,their,
