second,mets,back,put,walk,when,drew,
two,juan,the,jeanmar,gomez,araujo,batters,later,cuddyer,left,field,single,duda,double-play,got,lefty,rookie,sandberg,after,before,
the,flores,duda,sacrifice,giles,double,eighth,fly,game,inning,ken,leadoff,run,center,wilmer,bottom,david,murphy,lucas,baseman,
third,mets,face,elvis,araujo,one,single,duda,photo,may,scoring,zach,schonbrun,granderson,strong,recover,bullpen,bar,jacob,degrom,
ken,the,right-field,four,ball,followed,quickly,bottom,disgust,turned,play,run-scoring,each,rbis,murphy,when,tying,lucas,first,
