the,playing,appeared,phillies,control,inning,later,infield,coming,robles,allowed,cleanly,soft-toss,second,pivoting,
center,was,jeanmar,right-hander,gomez,elvis,leaping,left-hander,araujo,off,leading,saw,juan,fielder,pitch,lagares,when,laced,trotted,left-center,
triple,ben,hansel,reliever,the,drawn-in,first,scored,base,runners,espn,fastball,time,surrendered,would-be,rookie,ruined,batter,left,freddy,
third,chase,play,galvis,slider,stats,then,reach,double,poor,outs,bat,ball,win,moving,alex,torres,had,off,inning,
the,single,galvis,revere,game,robles,degrom,two-run,feed,four,pitches,freddy,home,inning,that,brought,night,fourth,down,made,
