lucas,duda,jeanmar,gomez,juan,upon,lefty-hitting,lefty,sliders,him,already,wiggle,some,eric,light-hitting,because,campbell,did,consider,face,
line,what,double-play,after,lines,brief,other,have,leadoff,batter,diekman,single,that,freddy,shortstop,elvis,pitch,laced,the,hit,
the,flores,araujo,single,off,was,walk-off,give,win,wilmer,inning,elvis,field,game,cuddyer,had,walking,citi,phillies,mets,
walked,runners,first,lefty,th-inning,plate,often,not,they,double,corners,play,michael,second,outs,duda,face,shot,would,heavy,
two,his,signature,base,slider,looping,fastball,plate,own,batters,words,wanted,intentionally,not,outs,jake,diekman,inning,first,home,
