diekman,their,extra,innings,deep,game,long,man,slated,said,have,season,elvis,left-hander,ceciliani,give,struggling,gomez,bounce,were,
bullpen,you,inning,jonathan,papelbon,walks,there,could,franco,get,thought,when,asked,gave,was,
his,unless,use,lead,either,closer,using,consideration,eric,this,get,shot,would,jake,lagares,third,rookie,not,baseman,concurring,
duda,face,araujo,the,guy,tonight,lefty-hitting,lefty,lead,somewhere,you,closer,wiggle,some,room,light-hitting,because,wanted,campbell,flores,
the,sandberg,ryne,had,was,him,get-go,not,hard,enough,right,play,juan,leadoff,jeanmar,team,lucas,last,double,big,
