united,recovery,states,helped,holdings,chairperson,lee,investment,
the,taiwan,bank,has,financial,now,projects,aiib,bernanke,
bank,infrastructure,more,projects,opportunity,would,asian,china-backed,
world,more,adding,useful,opportunity,investment,asian,create,
aiib,road,policy,better,now,the,useful,would,create,bernanke,china-backed,
