sports,the,games,subscriber,rights,york,each,data,cable,can,currently,significant,all,together,create,put,consultant,marc,ganis,you,
football,competitor,you,college,major,night,once,for,match,will,baseball,league,games,there,people,viewers,has,more,time,
the,sports,years,time,fox,murdoch,warner,media,rupert,hurdles,pursuit,million,first,walt,leg,real,chance,crowded,market,article,
the,espn,decades,far,too,consultant,might,nba,beat,still,monday,games,affiliate,average,kagan,fox,now,used,has,value,
old,murdoch,the,time,month,compiled,companies,meaningful,print,moffettnathanson,going,aspirational,nice,analyst,nathanson,horizon,director,adgate,with,prime,
