hawks,the,points,season,game,was,guard,for,paul,millsap,jeff,had,what,atlanta,teams,streak,remarkable,end,tough,n_t,
the,hawks,their,will,court,his,finals,slam,kent,dunk,bazemore,driving,ball,houston,golden,state,either,they,second,where,
the,hawks,finals,rebounds,points,lebron,seven,nba,cavaliers,james,nine,time,off,party,getting,ready,reserves,playing,brief,spent,
the,james,hawks,finals,lebron,cavaliers,his,more,get,one,nba,cleveland,call,timeout,championship,was,may,game,home,screaming,
the,hawks,conference,eastern,finals,cleveland,atlanta,james,cavaliers,game,victory,four,title,games,lebron,tuesday,win,night,kyrie,were,
