second,the,double,machado,manny,play,roller,backhanded,nifty,hole,stab,threw,marwin,gonzalez,made,out,third,one,runners,start,
the,start,jose,eighth,runners,put,george,springer,doubled,league,american,all-star,corners,two,years,ago,since,moved,race,earn,
j.j,drawn-in,shortstop,hardy,then,plate,altuve,gattis,bounced,one,the,
baltimore,for,was,the,five,hits,three,while,finished,scoring,steal,paredes,had,houston,season,game,runners,his,position,corners,
the,rundown,out,orioles,tag,allowing,third,mound,one,tommy,hunter,went,preston,tucker,rolled,second,springer,
