grand,ayatollah,shi'ite,most,senior,call,shouting,cleric,ali,al-sistani,najaf,people,stand,town,south,sakhr,evidence,u.s,helicopter,swathe,
kerry,more,government,negotiating,hadi,now,u.s,maliki,fractured,feature,rules,few,confessionally-mixed,three,iraqi,recent,figure,mahdi,forces,while,
forces,security,past,teeth,brought,fierce,fighters,al-qaeda,had,allies,side,fighting,where,south,jurf,place,u.s,see,travel,wrong,
shia,streets,this,weekend,openly,them,muslims,maliki,home,called,tension,years,ago,office,acknowledge,minister,withdrawal,made,farther,their,
the,shiite,iraq,militants,have,sunni,capital,armed,still,that,city,parade,will,zone,state,unity,speaks,his,been,which,
