but,consult,january,core,leadership,theme,challenge,cabinet,office,idea,might,has,
this,plan,government,was,were,saying,tuesday,something,not,his,the,appeared,cooler,neil,mitchell,telling,exemption,less,leadership,challenge,
the,that,abbott,his,joe,tony,minister,treasurer,government,states,would,products,gst,hockey,what,likelihood,news,conference,than,here,
some,failing,echoes,ministers,sanitary,yesterday,policy,least,two,areas,going,tax,review,charge,difference,petition,are,claims,not,while,
gst,removing,hockey,state,agreement,change,possible,lightly,something,would,wednesday,question,tony,minister,
