other,martin,can,administration,third,been,has,good,writers,fantasy,output,time,page,count,bit,trackwork,turns,
have,martin,the,always,should,epic,because,between,york,new,some,winds,jets,performance,predict,blog,years,series,exact,measure,
his,that,will,fanatics,come,previous,writing,just,year,worth,nearly,pace,time,end,martin,thrones,game,when,george,the,
ice,have,most-watched,channel,sopranos,drama,beating,successful,season,now,birthday,series,expects,has,proxy,this,chart,potter,overall,pages,
the,that,books,paperback,martin,r.r,pages,george,become,same,dragons,dance,fire,four,his,mythical,westeros,land,control,fighting,
