senate,commerce,clause,authority,majority,also,more,catholic,case,contraception,the,others,distinction,lose,faith-based,exemptions,example,oppose,door,foot,
control,was,friday,unmarried,baird,birth,nonprofits,tax,speech,accompanying,most,christian,relief,three,groups,yet,plan,start,effect,block,
women,anyone,such,have,legal,affect,run,buy,since,fines,issues,ads,north,said,conflicted,procedures,medications,remove,co-sponsored,legislation,
the,that,religious,court,their,not,hobby,freedom,which,decision,lobby,has,its,can,claims,monday,beliefs,employers,owners,held,
women,clinics,leaving,entering,patients,reproductive,massachusetts,zone,free,grounds,striking,advocates,blow,final,dealt,happens,tweeting,reid,democratic,substantially,
