weird,father,being,confesses,edge,actual,guilt,fireballs,their,terms,some,shot,castle,charge,snow,future,that,girl,jon,bran,
you,etc,joffrey,once,n't,lannisters,join,despises,father,your,did,almost,boy-king,odious,poisoning,can,accused,nice,incest,get,
the,tyrion,his,jaime,was,shae,not,father,king,brother,now,cell,reckoning,being,dwarf,anger,seething,treacherous,over,testimony,
freed,watch,figure,finally,coming,who,castle,black,leaving,eyes,degenerate,murderer,her,hand,dastardly,all,arya,award,peter,tyrion,
her,strangling,eventually,before,crime,night,allow,grant,mercy,already,outcome,carefully,constructed,bearded,meets,lover,notice,sword,jab,suffering,
