2.txt0.1,-2.483112603,2.txt0.2,null,2.txt0.30000000000000004,null,2.txt0.4,null,2.txt0.5,null,2.txt0.6,null,2.txt0.7,null,2.txt0.7999999999999999,null,2.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
4.txt0.1,-2.992407099,4.txt0.2,null,4.txt0.30000000000000004,null,4.txt0.4,null,4.txt0.5,null,4.txt0.6,null,4.txt0.7,null,4.txt0.7999999999999999,null,4.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
5.txt0.1,-5.591503123,5.txt0.2,null,5.txt0.30000000000000004,null,5.txt0.4,null,5.txt0.5,null,5.txt0.6,null,5.txt0.7,null,5.txt0.7999999999999999,null,5.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
7.txt0.1,0.755144961,7.txt0.2,null,7.txt0.30000000000000004,null,7.txt0.4,null,7.txt0.5,null,7.txt0.6,null,7.txt0.7,null,7.txt0.7999999999999999,null,7.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
8.txt0.1,-9.536218396,8.txt0.2,null,8.txt0.30000000000000004,null,8.txt0.4,null,8.txt0.5,null,8.txt0.6,null,8.txt0.7,null,8.txt0.7999999999999999,null,8.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
12.txt0.1,-7.058993165,12.txt0.2,null,12.txt0.30000000000000004,null,12.txt0.4,null,12.txt0.5,null,12.txt0.6,null,12.txt0.7,null,12.txt0.7999999999999999,null,12.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
15.txt0.1,-0.962306813,15.txt0.2,null,15.txt0.30000000000000004,null,15.txt0.4,null,15.txt0.5,null,15.txt0.6,null,15.txt0.7,null,15.txt0.7999999999999999,null,15.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
16.txt0.1,-0.863198158,16.txt0.2,null,16.txt0.30000000000000004,null,16.txt0.4,null,16.txt0.5,null,16.txt0.6,null,16.txt0.7,null,16.txt0.7999999999999999,null,16.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
18.txt0.1,-6.89248582,18.txt0.2,null,18.txt0.30000000000000004,null,18.txt0.4,null,18.txt0.5,null,18.txt0.6,null,18.txt0.7,null,18.txt0.7999999999999999,null,18.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
21.txt0.1,-4.050065837,21.txt0.2,null,21.txt0.30000000000000004,null,21.txt0.4,null,21.txt0.5,null,21.txt0.6,null,21.txt0.7,null,21.txt0.7999999999999999,null,21.txt0.8999999999999999,null,,,,,,,,,,,,,,,,,
