the,site,more,technology,swisher,teams,stay,independent,marketing,raise,saw,option,two,conferences,acquired,gaming,polygon,sports,vox.com,led,
they,what,was,journalism,doing,business,running,well,can,them,where,environment,being,important,that,sales,publishing,money,
california,conference,gif,exceptionally,verge,bankoff,announce,game,marvel,editor,patel,this,piece,sides,means,laying,kara,re_code,mossberg,ceo,
vox,media,its,ceo,the,deal,hosting,expand,will,both,how,work,companywide,why,happening,out,note,may,kara,walt,
news,vox,advantage,learn,influence,nation,explainer,seven,verge,re_code,
