his,hitting,thought,asked,sense,having,get,said,choice,does,except,all,have,sputtered,baseman,runners,right,drove,balls,four-run,
that,headed,subtext,hitters,lot,have,two-out,two-run,vogt,both,third,lowrie,first-pitch,offering,few,second,single,own,five,around,
that,donaldson,game,ace,reporter,quality,eventually,would,dugout,getting,thursday,working,seem,two-year,matchup,again,offense,good,spelled,both,
all-star,at-bats,teams,million,deal,pursued,interesting,pitcher,not,alberto,where,callaspo,put,jed,end,that,one,beat,best,record,
the,they,innings,hudson,giants,fifth,inning,was,runs,kazmir,when,sixth,six,tim,might,not,consecutive,out,batters,after,
