gaza,rocket,reuters,attack,air,strikes,haaretz,targets,israeli,hamas,afp,isis,force,firing,southern,idf,possible,state,israel,strip,
the,had,were,men,israel,has,then,revolutionary,courts,death,been,who,sentenced,collaborators,hundreds,ground,attack,jewish,state,three,
the,gaza,hamas,file,palestinian,group,strip,city,militant,palestinians,amnesty,associated,press,international,rally,photo,report,abbas,responsibility,hamra,
the,international,law,was,that,amnesty,humanitarian,luther,killings,forces,report,fundamental,rules,disregard,abuses,out,war,mentioned,investigating,framework,
the,were,group,killed,tortured,palestinians,militant,people,last,when,them,dozens,arrested,rights,human,which,hamas-organized,their,trials,verdict,
