carrying,grave,other,abuses,international,philip,luther,unlawful,killings,series,scores,ruthlessly,settle,war,year,conflict,out,reports,additional,information,
the,was,that,israel,people,hamas,civilian,mahmoud,president,palestinian,abbas,fatah,militant,cooperating,party,members,political,either,were,had,
the,war,hamas,gaza,strip,palestinians,crimes,international,israel,report,militant,group,wednesday,amnesty,saying,torturing,abducting,may,killed,summer,
gaza,reuters,haaretz,air,isis,targets,strikes,rocket,firing,southern,idf,israel,sex,david,mayor,multiple,suspected,yehuda,yosef,material,
najjar,few,effect,cease-fire,before,august,years,prison,being,authority,days,four,flattening,first,children,spectators,hundreds,al-omari,mosque,most,
