gwynn,year,series,the,words,combined,winning,role,medical,ultimately,older,braves,formal,bench,ryne,skipper,n't,did,exact,club,
this,phillies,gwynn,there,bowa,statement,sandberg,spoke,randy,ready,three,already,big-league,seasons,parts,draft,middle,phase,joined,leagues,
loss,sad,outfielder,history,personality,greatest,monday,just,way,professional,kruk,player,center,greater,admiration,then,petersburg,great,jones,laughing,
the,san,diego,padres,was,his,tony,gwynn,league,baseball,state,hall,career,while,padre,franchise,would,world,series,coach,
right,tobacco,everywhere,n.y,went,both,taking,him,captain,video,nicknames,god,fan,strasburg,bigger,paychecks,leaving,whole,pro,stay,
