most,positions,hold,dictates,some,bishops,had,officials,also,might,times,rev,praise,decision,many,repeatedly,million,world,result,church,
the,enjoyed,catholic,would,them,looked,debate,flock,deserves,monumental,general,move,church,queen,his,justin,
senior,pope,positive,month,closer,bring,steps,extremely,negative,rome,impact,historian,maria,giovanni,historic,still,ago,welby,
the,archbishop,justin,welby,spiritual,leader,that,decision,meeting,was,should,only,men,tradition,they,because,say,are,having,collaboration,
archbishop,people,him,vatican,told,holy,sir,pope,anglican,intensive,comes,traditionalists,will,there,i-ve,idea,lifetime,when,asked,less,
