such,step,equality,great,minister,prime,day,out,alone,changed,huge,this,have,head,two,church,decided,thousands,place,rules,
the,conservative,church,many,change,cathedral,increasingly,secular,bible,contradicts,falling,congregations,modern,says,struggles,image,minority,project,keen,reformers,
the,church,house,new,won,set,day,its,news,three,his,majority,common,ground,find,last,november,widespread,acceptance,committee,
the,church,women,england,bishops,that,its,has,vote,priests,been,was,ordained,general,allow,who,which,will,were,years,
the,church,england,anglican,synod,catholic,are,unity,had,woman,bishop,she,move,episcopal,global,was,first,which,with,mother,
