negative,impact,would,have,anglican,previous,decision,meeting,early,could,named,canterbury,england,church,next,bishop,priests,women,ago,
his,canterbury,shown,pressed,staked,oil,former,comes,rejection,synod,however,drive,designed,this,female,church,first,year,bishop,ago,
the,debate,traditionalists,welby,positive,also,opened,john,how,frustration,sentamu,issue,minister,leadership,post,who,swallow,decision,well,should,
the,welby,archbishop,justin,was,had,that,top,delighted,york,clergy,result,spiritual,leader,canterbury,church,change,pope,francis,month,
together,this,archbishop,closer,churches,rome,historian,maria,giovanni,grace,issue,great,british,november,has,who,though,times,praise,relief,
