were,although,welby,canterbury,archbishop,votes,little,may,happened,moday,ordaining,any,also,repeal,repealed,necessary,double,them,civilised,standing,
more,diocese,now,priests,there,clergy,elizabeth,taking,formality,britain,stop,they,wanted,dioceses,than,them,anglo-catholic,have,vociferously,decade,
its,years,would,common,ground,find,last,overwhelmingly,failure,response,even,more,delaying,change,raise,central,audience,move,year,november,
general,had,representatives,parliament,synod,anglican,community,allow,sway,historical,decision,grande,dismay,hold,attitudes,shift,may,marco,next,writing,
the,synod,church,general,women,bishops,that,been,england,its,which,will,had,move,priests,was,three,york,approved,clergy,
