sydney,would,they,were,head,evangelical,equality,great,such,melbourne,dorothy,result,trinity,school,little,historical,decision,dismay,hold,reverend,
much,his,independent,accept,longer,fact,can,salisbury,june,cathedral,dean,reverend,osborne,overdue,ordained,traditionalists,support,parliament,crisis,win,
the,women,church,bishops,england,its,vote,has,that,bishop,been,priests,ordained,general,year,first,female,had,any,have,
the,church,synod,are,anglican,global,ordination,mother,that,catholic,move,opposed,million,communion,york,which,members,may,inevitable,change,
could,not,first,hudson,rose,leadership,good,conscience,provisions,did,similar,include,grounds,after,step,stance,those,sway,del,attitudes,
