that,female,named,welby,bring,would,hold,campaign,minister,rev,clergy,historic,expert,early,could,first,next,justin,
who,decision,positive,closer,steps,rome,also,november,bishops,authority,has,staked,deserves,meeting,archbishop,ago,
church,pope,have,giovanni,people,differences,resolve,john,how,frustration,sentamu,has,delighted,york,well,should,disagree,atmosphere,charged,follow,
the,welby,archbishop,had,canterbury,was,justin,together,top,shock,two,move,been,his,which,result,church,women,ago,change,
this,impact,important,anglican,facto,issue,david,great,leadership,shown,british,them,though,swallow,debate,most,quagmire,leading,relief,monumental,
