the,jeter,yankees,his,that,shortstop,was,this,all-star,double,year-old,two,york,new,game,derek,win,captain,week,everywhere,
lot,out,was,second,pitch,haters,good,there,and,top-flight,little,unexpected,couple,owner,steinbrenner,died,place,took,tonight,life,
mariano,yankees,last,honoured,other,any,never,yankee,homage,road,george,former,can,team,consecutive,whichever,post-season,liner,sweet,three,
rivera,talks,teammate,final,adam,appearance,unforgiving,been,had,said,everything,yank,deep,where,mph,wind,sheppard,target,field,than,
trade,all,having,perhaps,does,talk,him,wears,idolizing,start,stories,revived,colorado,tulowitzki,derek,troy,
