operators,different,lot,existing,did,certainly,technologies,think,they,geographies,impressed,satellite,iptv,product,middleware,leverage,something,them,technology,cubiware,
the,that,you,have,business,some,there,very,this,your,portfolio,mso,are,would,our,tom,chopra,was,table,can,
say,much,rest,consistent,mean,margins,said,pretty,real,where,down,not,really,come,over,our,counsel,today,
tivo,general,our,tom,capital,ceo,rogers,cfo,earnings,inc,pretty,expenses,down,separate,getting,retail,pool,subs,coming,tony,
pushback,got,quarter,basis,back,full-blown,smaller,who,answer,service,internationally,off,biggest,question,each,expense,customers,their,cable,cost,
