the,digitalsmiths,warner,charter,that,time,much,would,both,are,cable,middleware,developed,one,domestic,they,operators,fairly,distinct,types,
what,our,internally,big,focused,customers,tend,directv,advanced,interface,metadata,current,you,others,digitalsmiths,your,deals,can,give,that,
significant,world,revenue,power,rolled,the,
rely,most,coming,combined,doubling,m&a,recent,deployment,set-top,acceleration,platform,out,saw,partners,
service,solutions,tier,recently,respect,player,company,side,very,cloud-based,through,meaning,activity,box,new,time,first,existing,progress,
