6.txt,4.487528915,4.313978113,4.140427311,3.966876509,3.793325708,3.619774906,3.446224104,3.272673302,3.0991225
9.txt,4.191204771,4.266332548,4.341460324,4.4165881,4.491715877,4.566843653,4.64197143,4.717099206,4.792226982
12.txt,4.297395972,3.990616372,3.683836773,3.377057173,3.070277574,2.763497974,2.456718375,2.149938775,1.843159176
14.txt,5.535183027,5.661494307,5.787805587,5.914116866,6.040428146,6.166739426,6.293050706,6.419361986,6.545673266
15.txt,6.701415739,6.505490941,6.309566143,6.113641345,5.917716548,5.72179175,5.525866952,5.329942154,5.134017356
19.txt,4.053100554,3.708923923,3.364747291,3.02057066,2.676394028,2.332217397,1.988040765,1.643864134,1.299687502
21.txt,5.077271312,4.654492136,4.23171296,3.808933784,3.386154608,2.963375432,2.540596256,2.11781708,1.695037904
25.txt,5.523647116,5.125206534,4.726765952,4.328325369,3.929884787,3.531444205,3.133003622,2.73456304,2.336122457
26.txt,5.11831727,4.622060609,4.125803949,3.629547288,3.133290627,2.637033967,2.140777306,1.644520645,1.148263985
28.txt,5.212117291,5.240928623,5.269739954,5.298551285,5.327362616,5.356173948,5.384985279,5.41379661,5.442607942
29.txt,4.259573509,3.911341687,3.563109865,3.214878044,2.866646222,2.5184144,2.170182578,1.821950756,1.473718934
33.txt,2.74662722,3.051484408,3.356341597,3.661198786,3.966055975,4.270913164,4.575770352,4.880627541,5.18548473
36.txt,6.182716028,5.715426198,5.248136367,4.780846537,4.313556707,3.846266876,3.378977046,2.911687215,2.444397385
37.txt,3.224200506,2.938401263,2.652602021,2.366802778,2.081003536,1.795204294,1.509405051,1.223605809,0.937806566
38.txt,4.557212959,4.363389188,4.169565417,3.975741646,3.781917876,3.588094105,3.394270334,3.200446563,3.006622792
41.txt,4.518545223,4.169593985,3.820642747,3.47169151,3.122740272,2.773789034,2.424837796,2.075886559,1.726935321
42.txt,4.138257778,3.750896617,3.363535455,2.976174294,2.588813132,2.20145197,1.814090809,1.426729647,1.039368486
