dance,the,legendary,dancer,works,korea,peninsula,colonial,modern,seok,ye-bin,new,japan,rule,trail,star,blazed,seoul,choi,seung-hee,
south,forum,jeju,u.s,korea,mark,medical,lippert,inter-korean,unification,healing,technology,praising,largest,ambassador,his,wound,island,end,envoy,
north,military,unit,kim,south,defense,jang,chang-hwa,month,was,chief,army,executed,vice,hwang,byong-so,hamkyong,province,field,inspection,
the,police,body,female,walk,slogans,korea,major,who,believes,general,people,hyon,last,not,yong-chol,marshal,gunsan,southwestern,city,
dmz,activists,the,cross,peace,heavily-fortified,border,demilitarized,symbol,zone,are,which,expected,women,protesting,anti-north,crossing,shout,yonhap,korea,
