amaro,phillies,fans,ruben,the,his,apologizes,team,manager,young,pitchers,promoting,issues,comes,game,n_t,understand,which,said,tuesday,
the,nola,eflin,that,some,reason,also-ran,aaron,majors,zach,prospects,double-a,pitching,big,see,hurry,fan,reading,big-league,populace,
miles,about,firestorm,field,visiting,amaro,well,aware,yesterday,first,pitch,little,the,
citi,the,dugout,visitor,cameras,reporters,appearing,radio,couple,issued,mid-afternoon,south,created,field,amaro,yesterday,hours,more,ruben,
seven,misguided,quotes,charge,what,done,phillyvoice,bitch,too,you,television,mea,after,sometime,that,know,general,they,saying,the,
