nola,some,aaron,pitchers,hurry,fans,zach,young,right,success,players,soon,those,all,did,majors,big,big-league,weeks,best,
club,that,reading,was,reason,also-ran,small,need,league,major,him,lot,them,bring,aggressive,would,yesterday,righthanders,aaron,nola,
the,that,eflin,phillies,aaron,pitch,double-a,big,fan,populace,rotation,served,who,anyone,thinks,see,amaro,csnphilly.com,prospects,pitching,
asked,these,our,many,players,roman,now,six,when,fans,pitching,was,the,
doing,other,excited,things,are,nolas,even,leagues,now,promote,segment,player,not,who,minors,tuesday,see,amaro,would,prefer,
