tampa,elimination,was,power,net,opportunities,play,four,capitalizing,netminder,special,cup,stanley,finals,conference,blueshirts,bay,pounced,happily,p.m,
they,incredibly,find,any,are,their,working,beat,goal,shots,players,allowed,ben,period,goalie,bishop,rohan,
the,puck,lightning,rangers,keep,when,ben,period,bishop,search,are,back,all,hand-in-hand,were,their,defense,able,optimally,playoffs,
his,defensive-minded,physical,prepared,that,going,seven,relief,one,andrei,shots,while,gave,big,off,rebounds,bounce,crease,foot,young,
they,third,can,for,exploit,dig,going,play,avoiding,night,winning,boards,them,rattled,loose,beating,five,after,midway,was,
