afghan,forces,presence,the,puppet,u.s.-backed,regime,since,toppled,insurgency,been,has,government,invading,which,waging,islamist,force,foreign,local,
the,attacks,long,targeting,series,assistance,nations,united,heavy,mission,toll,weather,warm,annual,month,ago,their,offensive,insurgents,launched,
the,were,said,killed,taliban,attackers,ayoub,general,salangi,deputy,other,year,four,injured,civilians,minister,interior,grenade,district,gun,
the,rabbani,president,was,burhanuddin,late,former,who,salahuddin,minister,foreign,current,family,owned,target,that,guesthouse,son,hotel,assassinated,
kabul,early,afghan,may,attack,the,security,reuters_mohammad,afghanistan,site,central,hourslong,have,militants,where,military,small,help,this,retain,
