rahimi,identify,was,six-hour,before,attackers,which,occupants,accommodate,declined,includes,kabul,gunmen,
rahman,abdul,guesthouse,salahuddin,minister,foreign,rabbani,that,political,family,owned,kabul,said,includes,afghan,prominent,the,
target,their,reaching,were,the,assault,reporters,speaking,declined,was,four,police,rahimi,
the,said,all,sources,afghans,that,prominent,guesthouse,four,police,
the,afghan,security,western,foreigners,sources,which,occupants,afghans,accommodate,guesthouse,
