the,akbar,wazir,district,attack,after,home,assault,rifles,ended,khan,annual,offensive,responsibility,foreign,firms,kabul,many,fire,sustained,
target,neighbourhood,tuesday,security,afghan,wednesday,early,capital,upscale,hours,neighborhood,all-night,siege,were,attackers,embassies,the,
one,launcher,were,grenade,had,three,four,akbar,heavily,guarded,least,rpg,salangi,who,khan,attackers,seized,upmarket,late,began,
afghanistan,attacks,prime,sporadic,foreign,taliban,personnel,morning,killed,civilians,hours,though,said,photo_allauddin,heavily,ended,official,several,the,
embassies,spring,their,diplomatic,press,downtown,weapons,that,resounded,huge,series,official,buildings,several,overnight,battle,the,
