the,khan,interior,deputy,attackers,rocket-propelled,said,afghanistan,other,one,ayoub,wazir,were,minister,military,civilian,casualties,ayub,heavily,district,
were,official,there,his,account,using,automatic,weapons,guarded,assault,ended,least,the,grenade,three,launcher,akbar,had,
forces,members,battle,civilians,mohammad,the,
launcher,grenade,one,three,salangi,minister,akbar,ayoub,had,wazir,were,twitter,interior,four,hand,been,that,heavily,rpg,who,
seized,security,rifles,the,had,were,rocket,forces,cnn,ayub,mohammad,guarded,district,assault,attack,rocket-propelled,after,least,grenade,three,
