the,rabbani,minister,burhanuddin,president,afghanistan,family,foreigners,who,late,salahuddin,foreign,current,owned,was,son,guests,include,sporadic,focused,
guesthouse,being,popular,one,hurt,safe,rooms,hotel,were,salahuddin,foreign,now,heetal,bbc,afghanistan,had,the,they,police,
all,airport,diplomatic,district,heart,which,favored,fire,heavy,tuesday,late,guesthouse,
kabul,includes,afghan,prominent,rahman,abdul,chief,rahimi,salahuddin,family,owned,was,that,guesthouse,the,assassinated,served,his,late,political,
the,was,that,close,area,rifle,automatic,accompanying,explosions,december,taliban,officially,attacked,heetal,former,target,interior,known,ministry,told,
