cnn,kabul,the,jethro,masoud,hong,kong,mullen,wrote,hours-long,civilian,firms,khan,akbar,wazir,many,embassies,home,district,weapons,
the,rabbani,guesthouse,minister,was,rahman,abdul,police,rahimi,salahuddin,foreign,that,family,attackers,have,who,includes,political,prominent,owned,
the,early,afghanistan,afghan,may,attack,kabul,site,security,policeman,watch,reuters_mohammad,jessica,donati,mirwais,harooni,bar,deaths,official,car,
killed,four,afghan,the,capital,hours,armed,insurgents,wednesday,government,taliban,were,diplomatic,guesthouse,grenade,launcher,until,rifles,out,held,
the,two,palace,park,people,taliban,killing,weeks,attacks,recent,least,civilians,security,british,few,contractor,days,airport,more,than,
