site,publishing,owns,his,last,wanted,ceo,independent,learn,nation,sports,officer,vox.com,two,sites,content,overlap,percent,only,internal,
the,that,bankoff,they,vox,media,executive,conference,chief,recode,kara,vanity,fair,giant,condé,highest,exceptional,team,doing,them,
jim,news,business,wired,yorker,new,next,nast,generation,company,year,forbes,tech,coverage,bar,continuing,digital-first,same,this,approach,
journalism,what,was,running,well,can,where,important,conferences,more,its,influence,re_code,acquired,bottom,business,age,indicated,code,home,
vox,bankoff,set,hosting,expand,also,viewers,swath,publications,digital,time,inc,portfolio,kind,create,plan,acquisition,two,start,recode,
