bar,single,los,angeles,the,comments,mlbbowman,traded,agreeing,decision,mark,bowman,one,once,tie,andrelton,simmons,driving,tuesday,night,
million,dol,the,deal,braves,one-year,season,december,oakland,last,spending,when,utility,potentially,valuable,man,signed,tag,than,less,
the,who,has,agent,his,trade,league,major,will,at-bats,home,eight,runs,justin,alex,veteran,turner,same,rookie,guerrero,
the,alberto,callaspo,juan,dodgers,uribe,braves,trade,approval,baseman,was,rob,commissioner,manfred,multiplayer,pending,infielder,mlb.com,second,third,
that,third,was,his,first,batting,seventh,base,pedro,ciriaco,jace,peterson,pitch,clayton,kershaw,before,replacing,braves,about,minutes,
