first,addition,turner,andre,ethier,two-run,double,a.j,ellis,rbi,throws,howie,great,ciriaco,have,could,stop,single,his,
the,single,left,field,season,final,pitch,teheran,pavilion,his,homer,when,hit,rbis,active,became,fifth,one-out,kendrick,julio,
the,lead,jimmy,left-center,gap,lining,fourth,dodgers,outburst,baseman,ended,
diving,kendrick,that,pedro,the,inning,retire,terrific,makes,ranges,play,ciriaco,atl@lad,nabs,shutout,could,stop,runners,kept,made,
justin,rbi,howie,right-field,gonzalez,intentional,advantage,line,down,third,rollins,score,baseman,turner,run-scoring,kershaw,advancing,out,kendrick,the,
