had,gonzalez,four-plus,coming,era,who,guy,n_t,did,strong,yasiel,puig,adrian,together,their,seasons,bond,his,teammates,plus,
the,his,two-run,rbi,shoe,braves,angeles,inning,baseball,when,atlanta,home,run,five-hitter,two,relievers,los,fourth,six-run,capped,
the,game,gonzalez,baseman,fredi,manager,los,adrian,right,hours,that,way,alberto,inf,juan,callaspo,multi-player,pending,trade,numerous,
room,anymore,service,charge,able,not,his,albert,fine,right-field,intentional,advantage,plate,line,third,turner,kendrick,
the,left,teheran,active,fifth,single,one-out,kendrick,field,season,final,pitch,julio,pavilion,homer,hit,rbis,when,his,howie,
