had,gonzalez,four-plus,coming,era,who,guy,n_t,did,strong,yasiel,puig,adrian,together,their,seasons,bond,his,teammates,albert,
the,left,teheran,active,when,fifth,single,one-out,kendrick,field,season,final,pitch,julio,pavilion,homer,hit,rbis,his,howie,
the,baseman,fredi,game,manager,gonzalez,adrian,right,hours,that,way,day,earlier,spoke,callaspo,multi-player,mattingly,right-field,justin,intentional,
room,his,shoe,anymore,service,charge,able,not,baseball,base,taped,hidden-ball,trick,was,locker,over,uribe,him,presented,when,
the,two-run,los,rbi,angeles,atlanta,braves,inning,his,dodgers,home,run,five-hitter,two,relievers,fourth,six-run,capped,tuesday,may,
