four-plus,had,gonzalez,coming,era,guy,n_t,did,who,strong,yasiel,puig,adrian,together,their,seasons,bond,his,teammates,plus,
room,his,the,two-run,rbi,braves,los,angeles,inning,anymore,service,charge,able,not,atlanta,home,run,five-hitter,two,relievers,
the,gonzalez,fredi,manager,baseman,game,callaspo,adrian,right,hours,that,way,albert,fine,day,earlier,spoke,alberto,inf,juan,
shoe,baseball,base,taped,hidden-ball,trick,was,locker,over,uribe,him,presented,when,victimized,one,his,the,league,you,
the,fifth,left,season,teheran,active,his,single,one-out,kendrick,field,final,pitch,julio,pavilion,homer,hit,rbis,when,howie,
