new,directed,diss,some,spit,you,which,minaj,when,hear,that,wrote,cause,myself,what,offer,look,declaring,
her,hit,single,fancy,mediocre,are,newcomer,perform,australian,nicki,rapper,aussie,veiled,jibe,reference,nickiminaj,rant,rumors,own,drum,
pettiness,alexis,mtv,explosion,catfight,this,week,times,square,implications,court,supreme,come,numbers,homeless,chasing,actors,list,dongs,dave,
the,publicly,bet,awards,fancy,success,gmt,june,onstage,paris,hilton,updated,published,associated,nokia,theatre,red,year-old,carpet,all,
nicki,azalea,minaj,her,bet,iggy,the,awards,rapper,that,shade,n-t,she,did,was,speech,acceptance,twitter,bar,female,
