san,antonio,spurs,championship,patty,mills,nba,team,wednesday,lined,yahoo,australian,association,basketball,national,celebrate,blow,horns,balconies,chant,
the,antonio,san,fifth,spurs,that,floated,barges,franchise,down,alamodome,arena,triumphant,rally,followed,river,walk,climbing,history,their,
the,antonio,san,nba,heat,miami,game,sunday,spurs,june,finals,basketball,night,win,championship,forward,photo,lebron,james,their,
the,not,james,too,much,would,after,leaving,how,one,lebron,who,was,that,five-game,beatdown,they,tko,waning,administered,
his,the,san,been,duncan,arms,larry,trophy,tim,was,spurs,andrew,last,championships,him,has,manu,ginobili,duo,tony,
