minister,prime,nouri,al-maliki,monday,shia,out,much,has,will,shi'ite,still,years,various,factions,unite,forced,call,them,states,
the,that,iraq,has,was,india,which,isis,been,there,more,new,workers,all,could,not,also,conflict,islamic,part,
ayatollah,arms,syria,here,themselves,parallel,sectarian,divided,already,entire,bloodbath,fore,drag,divisions,brashly,lebanon,fault,dormant,uncovered,mid,
the,militants,iraq,forces,state,baghdad,syria,isis,security,who,sunni,capital,have,city,group,control,government,crossing,border,islamic,
mohammed/ap,shiite,are,sunni,ordinary,allies,haven,longer,had,disgruntled,community,assumptions,broken,possibility,because,offered,important,cold,cash,smoothed,
