face,militias,suffering,response,fractured,nation,feature,unity,home,that,ago,largest,ideology,three,air,militia,captionvolunteers,npr,hide,agreement,
extremists,killings,protect,iraqis,back,muslims,fallujah,january,provincial,headquarters,truck,burn,called,shia,three,crossings,area,still,were,prime,
the,iraq,militants,shia,has,baghdad,crossing,forces,are,zone,that,years,sunni,isis,unrest,fall,still,prime,minister,city,
india,syrian,critical,islamist,closer,conflict,presence,every,million,tonnes,more,workers,what,ways,needs,titled,brings,which,been,not,
withdrew,syria,themselves,innate,green,speaks,tension,few,things,town,official,militant,kurdish,still,minister,hussein,executed,al-maliki,border,control,
