rights,other,country,work,nations,conservatives,wanted,acting,labour,leader,human,may,laws,presented,replace,tories,queen,not,speech,will,
andrew,david,dominic,set,years,first,follow,intends,political,agenda,setting,party,itself,out,have,that,senior,
have,each,basic,threaten,election,rights,manifesto,was,plank,set,coming,government,legacy,depredations,answers,place,all,traces,put,bury,
widely,consult,bill,quickly,rather,now,last,parliament,told,odd,drawn,adding,detailed,legislation,despite,n_t,did,times,british,key,
the,will,government,former,would,term,plans,out,are,harriet,right,than,get,more,important,source,lawyers,did,new,chief,
