was,that,couple,pipe,shots,give,mph,well,trying,him,have,would,going,thought,n't,ken,hurler,blowing,fox,rosenthal,
the,him,social,media,first,wrong,way,gets,sometimes,fourth,asked,explanatory,inning,interview,leading,rounds,making,comments,erin,andrews,
jeter,wainwright,derek,all-star,double,adam,game,his,the,pitch,comments,field,final,leadoff,starter,sports,today,news,daily,home-field,
the,his,jeter,adam,wainwright,mound,second,moment,that,glove,appearance,dodgers,clayton,kershaw,young,interesting,duel,controversy,cardinals,pitches,
who,back,problem,april,all,missed,innings,era,kershaw,said,dropped,applauding,humor,erin,must,in-game,with,count,come,groovy,
