that,the,list,coco,crisp,person,more,stand,players,always,season,brandon,definitely,invitation,at-bat,him,get,just,base,runner,
third,giants,athletics,the,donaldson,them,n't,where,like,thing,you,know,not,speaking,players,cleared,right,time,days,san,
they,starter,hudson,the,quality,at-bats,having,kept,would,tim,dugout,batters,getting,well,both,were,thursday,early,mood,working,
second,wanted,named,out,way,start,
the,two,home,run,homer,field,who,two-run,baseman,donaldson,three,all-star,was,right,stephen,runs,first,moss,game,cespedes,
