guntur,being,reported,swept,box,dry,upwards,inching,heatstroke,jharkhand,red,constant,worsened,conditions,chances,reuters,photo,hyderabad,auto,day,
the,pradesh,have,people,telangana,temperatures,hit,south,degrees,which,celsius,last,week,weekend,borders,monday,seven,past,hovering,west,
heat,andhra,has,wave,telangana,people,swept,that,district,alone,india,tulsi,special,died,new,days,delhi,severe,killed,extreme,
sweltering,capital,maximum,relative,city,humidity,stifling,were,lucknow,problem,fatality,meteorological,odisha,warnings,winds,conditions,summer,rickshaw,lives,andhra,
degrees,temperature,around,bengal,madhya,punjab,maharashtra,also,intense,recorded,dehydration,signalling,issued,hot,high,record,northern,india,uttar,too,
