hot,her,children,gate,monument,was,pune,western,nightmare,who,visiting,year-old,our,outing,turned,here,out,tourist,meena,sheshadri,
the,tuesday,state,maximum,above,remain,would,red,temperatures,meaning,box,meteorological,wednesday,degrees,sun,scooter,his,one-week,highest,then,
india,that,people,more,heat,wave,has,have,died,degrees,than,temperatures,major,heatwave,hyderabad,roads,melt,pradesh,the,times,
the,sweltering,days,large,have,heat,air,overtime,energy-guzzling,conditioners,work,new,delhi,power,cuts,fears,prompting,capital,phaphamau,allahabad,
power,people,transmission,lines,overloaded,poorly,maintained,grids,largest,third,asia,economy,rising,demand,rapidly,meet,long,seen,nearly,million,
